"filepath","filename","longitude","latitude","altitude","gps_date","img_date","parcelno","house_numb","street_nam","street_typ","zipcode","common_nam"
"/Volumes/KD/Vernor3/G0113795.JPG","G0113795.JPG",-82.9936313,42.3635912,149.185,"2017:06:23 20:51:08","2017:06:23 04:51:49","19010309.","2405","CRANE",,"48214",
"/Volumes/KD/Vernor3/G0113796.JPG","G0113796.JPG",-82.9937451,42.3635483,149.437,"2017:06:23 20:51:10","2017:06:23 04:51:51","19010309.","2405","CRANE",,"48214",
"/Volumes/KD/Vernor3/G0113797.JPG","G0113797.JPG",-82.9938627,42.3635033,149.894,"2017:06:23 20:51:12","2017:06:23 04:51:53","19010309.","2405","CRANE",,"48214",
"/Volumes/KD/Vernor3/G0113798.JPG","G0113798.JPG",-82.9939649,42.3634631,149.919,"2017:06:23 20:51:14","2017:06:23 04:51:55","19010309.","2405","CRANE",,"48214",
"/Volumes/KD/Vernor3/G0113806.JPG","G0113806.JPG",-82.9947181,42.3631681,149.082,"2017:06:23 20:51:30","2017:06:23 04:52:11","17006058.","2401","FISCHER",,"48214",
"/Volumes/KD/Vernor3/G0113807.JPG","G0113807.JPG",-82.9948007,42.3631307,149.167,"2017:06:23 20:51:32","2017:06:23 04:52:13","17006058.","2401","FISCHER",,"48214",
"/Volumes/KD/Vernor3/G0113808.JPG","G0113808.JPG",-82.9948909,42.3630999,149.347,"2017:06:23 20:51:34","2017:06:23 04:52:15","17006058.","2401","FISCHER",,"48214",
"/Volumes/KD/Vernor3/G0113809.JPG","G0113809.JPG",-82.994972,42.3630594,149.13,"2017:06:23 20:51:36","2017:06:23 04:52:17","17006058.","2401","FISCHER",,"48214",
"/Volumes/KD/Vernor3/G0113810.JPG","G0113810.JPG",-82.9950622,42.3630226,148.593,"2017:06:23 20:51:38","2017:06:23 04:52:19","17006058.","2401","FISCHER",,"48214",
"/Volumes/KD/Vernor3/G0113777.JPG","G0113777.JPG",-82.9919742,42.3647086,148.247,"2017:06:23 20:50:32","2017:06:23 04:51:13","19000385.","8893","VERNOR",,"48214",
"/Volumes/KD/Vernor3/G0113781.JPG","G0113781.JPG",-82.9923058,42.3644288,147.501,"2017:06:23 20:50:40","2017:06:23 04:51:21","19000717.","8861","LORMAN",,"48214",
"/Volumes/KD/Vernor3/G0113782.JPG","G0113782.JPG",-82.99238,42.3643498,147.494,"2017:06:23 20:50:42","2017:06:23 04:51:23","19000717.","8861","LORMAN",,"48214",
"/Volumes/KD/Vernor3/G0113783.JPG","G0113783.JPG",-82.9924522,42.364278,147.526,"2017:06:23 20:50:44","2017:06:23 04:51:25","19000717.","8861","LORMAN",,"48214",
"/Volumes/KD/Vernor3/G0113826.JPG","G0113826.JPG",-82.9965991,42.3624299,148.263,"2017:06:23 20:52:10","2017:06:23 04:52:51","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113827.JPG","G0113827.JPG",-82.9966887,42.3623939,148.364,"2017:06:23 20:52:12","2017:06:23 04:52:53","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113828.JPG","G0113828.JPG",-82.9967794,42.3623596,148.309,"2017:06:23 20:52:14","2017:06:23 04:52:55","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113829.JPG","G0113829.JPG",-82.9968649,42.3623267,148.594,"2017:06:23 20:52:16","2017:06:23 04:52:57","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113830.JPG","G0113830.JPG",-82.9969435,42.362294,148.859,"2017:06:23 20:52:18","2017:06:23 04:52:59","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113831.JPG","G0113831.JPG",-82.997017,42.3622675,149.56,"2017:06:23 20:52:20","2017:06:23 04:53:01","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113832.JPG","G0113832.JPG",-82.9970585,42.3622516,149.689,"2017:06:23 20:52:22","2017:06:23 04:53:03","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113833.JPG","G0113833.JPG",-82.9970672,42.3622482,149.845,"2017:06:23 20:52:24","2017:06:23 04:53:05","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113834.JPG","G0113834.JPG",-82.9970711,42.3622499,150.477,"2017:06:23 20:52:26","2017:06:23 04:53:07","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113835.JPG","G0113835.JPG",-82.9970733,42.3622492,150.976,"2017:06:23 20:52:28","2017:06:23 04:53:09","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113836.JPG","G0113836.JPG",-82.9970738,42.3622491,151.327,"2017:06:23 20:52:30","2017:06:23 04:53:11","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113837.JPG","G0113837.JPG",-82.9970746,42.3622494,151.588,"2017:06:23 20:52:32","2017:06:23 04:53:13","17007022.","2430","IROQUOIS",,"48214",
"/Volumes/KD/Vernor3/G0113838.JPG","G0113838.JPG",-82.9970756,42.3622507,152.058,"2017:06:23 20:52:34","2017:06:23 04:53:15","17007022.","2430","IROQUOIS",,"48214",
